Configuration Item,CI_TagName,CI_TagUserName,CI_TagDescription,CI_ValueSizeBytes,CI_ValueOptions,CI_ValueOptions,CI_InternalNotes,CI_UserVisibility,CI_ReadOnly,CI_Master_Default_Eugene,CI_Master_Default_Bologna,CI_Class2_Default,CI_Class3_Default,CI_Class4_Default,CI_Class5_Default,CI_Class6_Default,CI_Class8_Default,CI_Class9_Default,CI_Class10_Default,CI_Class11_Default,CI_Class12_Default,CI_Class13_Default,CI_AladdinMenuPathsAndCategories
U82D,CI_UCC_EAN128_2D_COMPONENT_ENABLE,GS1-128 2D Component Enable/Disable,Controls requirement that a 2D label component be decoded when an GS1-128 base label is decoded.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,UCC
CMO8,CI_UCC_OPTIONAL_COMPOSITE_128_TIMER,UCC Optional Composite Timer for EAN 128,Specifies the amount of time the system will wait for the 2D component of a GS1 Composite label before transmitting the EAN 128 linear label without any additional data.,1,"[format=range]
min=00
max=0x1E
step=01
[PRG_ValueIncluded=false]",,Value is multiplied by 10 msec step.,PUBLIC_PRG,false,0x07,0x07,,,,,,,,,,,,UCC
CMOT,CI_UCC_OPTIONAL_COMPOSITE_TIMER,UCC Optional Composite Timer for UPC/EAN,Specifies the amount of time the system will wait for the 2D component of a GS1 Composite label before transmitting the UPC/EAN linear label without any additional data.,1,"[format=range]
min=00
max=0x1E
step=01
[PRG_ValueIncluded=false]",,Value is multiplied by 10 msec step.,PUBLIC_PRG,false,0x07,0x07,,,,,,,,,,,,UCC
I2EN,CI_I2OF5_ENABLE,Interleaved 2 of 5 Enable/Disable,Enables/Disables ability to decode Interleaved 2 of 5 labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,0x01,,,,,I2OF5
I2L1,CI_I2OF5_LENGTH_1,Interleaved 2 of 5 Set Length 1,Specifies one of the barcode lengths for Interleaved 2-of-5 length control.,1,"[format=selection]
0x02=2
0x04=4
0x06=6
0x08=8
0x0A=10
0x0C=12
0x0E=14
0x10=16
0x12=18
0x14=20
0x16=22
0x18=24
0x1A=26
0x1C=28
0x1E=30
0x20=32
0x22=34
0x24=36
0x26=38
0x28=40
0x2A=42
0x2C=44
0x2E=46
0x30=48
0x32=50
[PRG_ValueIncluded=false]",,"Length 1 is the minimum label length if in variable length mode, or the first fixed length if in fixed length mode. Length includes the barcode s check and data characters.",PUBLIC_PRG,false,0x06,0x06,,,,,,,0x08,,,,,I2OF5
I2L2,CI_I2OF5_LENGTH_2,Interleaved 2 of 5 Set Length 2,Specifies one of the barcode lengths for Interleaved 2-of-5 length control.,1,"[format=selection]
0x00=0
0x02=2
0x04=4
0x06=6
0x08=8
0x0A=10
0x0C=12
0x0E=14
0x10=16
0x12=18
0x14=20
0x16=22
0x18=24
0x1A=26
0x1C=28
0x1E=30
0x20=32
0x22=34
0x24=36
0x26=38
0x28=40
0x2A=42
0x2C=44
0x2E=46
0x30=48
0x32=50
[PRG_ValueIncluded=false]",,"Length 2 is the maximum label length if in variable length mode, or the second fixed length if in fixed length mode. Length includes the barcode s check and data characters.",PUBLIC_PRG,false,0x32,0x32,,,,,,,0x10,,,,,I2OF5
I2LC,CI_I2OF5_LENGTH_CONTROL,Interleaved 2 of 5 Length Control,Specifies either variable-length decoding or fixed-length decoding for Interleaved 2-of-5,1,"[format=selection]
0x00=Variable-length decoding
0x01=Fixed-length decoding",,"For variable-length decoding, a minimum length may be set; for fixed-length decoding, two different lengths may be set. Software for variable-length decoding will check both minimum and maximum length.",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,I2OF5
I2FM,CI_I2OF5_NO_FIRST_MARGIN,"Short Margin, enable last margin only","Short Margin, enable last margin only",1,"[format=selection]
0x00=Disable
0x01=Enable",,,INTERNAL,false,0x00,0x00,,,,,,,,,,,,I2OF5
I2LM,CI_I2OF5_NO_LAST_MARGIN,"Short Margin, enable first margin only","Short Margin, enable first margin only",1,"[format=selection]
0x00=Disable
0x01=Enable",,,INTERNAL,false,0x00,0x00,,,,,,,,,,,,I2OF5
I2SM,CI_I2OF5_SHORT_MARGIN,"Short Margin, enable both","Short Margin, enable both",1,"[format=selection]
0x00=Disable
0x01=Enable",,,INTERNAL,false,0x00,0x00,,,,,,,,,,,,I2OF5
I2CC,CI_I2OF5_CHECK_CHARACTER_CALCULATION,Interleaved 2 of 5 Check Character Calculation,Enables/Disables calculation and verification of optional Interleaved 2-of-5 check character,1,"[format=selection]
0x00=Disable
0x01=Check Standard (Modulo 10)
0x02=Check German Parcel
0x04=Check DHL
0x08=Check Daimler Chrysler
0x10=Check Bosch
0x20=Check Italian Post
[PRG_ValueIncluded=false]",,"0x00=Disable
Bit values
0x01=Check Standard (Modulo 10)
0x02=Check German Parcel
0x04=Check DHL
0x08=Check Daimler Chrysler
0x10=Check Bosch
0x20=Check Italian Post
Any combination of the check character types can be enabled at the same time by setting the appropriate bits of the value.
When disabled, any check character in label is treated as a data character",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,I2OF5
I2FE,CI_I2OF5_FEBRABAN_ENABLE,Febraban Enable/Disable,Enables/Disables ability of scanner to decode Febraban labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,,INTERNAL,false,0x00,0x00,,,,,,,,,,,,I2OF5
U2CC,CI_INDUSTRIAL_2OF5_CHECK_CHARACTER_CALCULATION,Industrial 2 of 5 Check Character Calculation,Enables/Disables calculation and verification of optional Industrial 2 of 5 check character,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,INDUSTRIAL
U2CT,CI_INDUSTRIAL_2OF5_CHECK_CHARACTER_TRANSMISSION,Industrial 2 of 5 Check Character Transmission,Enables/Disables transmission of Industrail 2 of 5 check character,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,INDUSTRIAL
U2EN,CI_INDUSTRIAL_2OF5_ENABLE,Industrial 2 of 5 Enable/Disable,Enables/Disables ability to decode Industrial 2 of 5 labels.,1,"[format=selection]
0x00=Disable
0x01=Enable",,This item must be enabled also to decode a symbology called Discrete 2 of 5. In that case is necessary to enable additionally CI_STANDARD_2OF5_ENABLE,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,INDUSTRIAL
U2L1,CI_INDUSTRIAL_2OF5_LENGTH_1,Industrial 2 of 5 Set Length 1,Specifies one of the barcode lengths for Industrial 2 of 5 length control,1,"[format=range]
min=01
max=0x32
step=01
[PRG_ValueIncluded=false]",,"Length 1 is the minimum label length if in variable length mode, or the first fixed length if in fixed length mode. Length includes the barcode s check and data characters.",PUBLIC_PRG,false,0x06,0x06,,,,,,,,,,,,INDUSTRIAL
U2L2,CI_INDUSTRIAL_2OF5_LENGTH_2,Industrial 2 of 5 Set Length 2,Specifies one of the barcode lengths for Industrial 2 of 5 length control,1,"[format=range]
min=00
max=0x32
step=01
[PRG_ValueIncluded=false]",,"Length 2 is the maximum label length if in variable length mode, or the second fixed length if in fixed length mode. Length includes the barcode s check and data characters.
00 = Ignore this length and use only one fixed length",PUBLIC_PRG,false,0x32,0x32,,,,,,,,,,,,INDUSTRIAL
U2LC,CI_INDUSTRIAL_2OF5_LENGTH_CONTROL,Industrial 2 of 5 Length Control,Specifies either variable-length decoding or fixed-length decoding for Industrial 2 of 5,1,"[format=selection]
0x00=Variable-length decoding
0x01=Fixed-length decoding",,"For variable-length decoding, a minimum length may be set; for fixed-length decoding, two different lengths may be set",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,INDUSTRIAL
S2CT,CI_S25_CHECK_CHAR_TXMIT,Code Standard 2 of 5 Check Character Transmission,Enables/Disables transmission of optional Standard 2-of-5 check character.,1,"[format=selection]
0x00=Disable
0x01=Enable",,Applies when CI_S25_CHECK_CHARACTER is enabled; ignored when CI_FULL_LABEL_EDIT is enabled.,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,S25
S2EN,CI_S25_ENABLE,Code Standard 2 of 5 Enable/Disable,Enables/Disables ability to decode Standard 2-of-5 labels.,1,"[format=selection]
0x00=Disable
0x01=Enable",,This item must be enabled also to decode a symbology called Discrete 2 of 5. In that case is necessary to enable additionally CI_INDUSTRIAL_2OF5_ENABLE,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,S25
S2L1,CI_S25_LENGTH_1,Code Standard 2 of 5 Set Length 1,Specifies one of the barcode lengths for Standard 2-of-5 length control.,1,"[format=range]
min=01
max=0x32
step=01
[PRG_ValueIncluded=false]",,"Length 1 is the minimum label length if in variable length mode, or the first fixed length if in fixed length mode. Length includes the barcode s check and data characters.",PUBLIC_PRG,false,0x08,0x08,,,,,,,,,,,,S25
S2L2,CI_S25_LENGTH_2,Code Standard 2 of 5 Set Length 2,Specifies one of the barcode lengths for Standard 2-of-5 length control.,1,"[format=range]
min=00
max=0x32
step=01
[PRG_ValueIncluded=false]",,"Length 2 is the maximum label length if in variable length mode, or the second fixed length if in fixed length mode. Length includes the barcode s check and data characters.",PUBLIC_PRG,false,0x32,0x32,,,,,,,,,,,,S25
S2LC,CI_S25_LENGTH_CONTROL,Code Standard 2 of 5 Length Control,Specifies either variable length decoding or fixed length decoding for Standard 2-of-5,1,"[format=selection]
0x00=Variable-length decoding
0x01=Fixed-length decoding",,"For variable length decoding, a minimum length may be set;for fixed length decoding two different lengths may be set. Software for variable-length decoding will check both the minimum and maximum length.",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,S25
S2CC,CI_S25_CHECK_CHARACTER,Code Standard 2 of 5 Check Character Calculation,Enables/Disables calculation and verification of optional Standard 2-of-5 check character,1,"[format=selection]
0x00=Disable
0x01=Enable",,"When disabled, any check character in the label is treated as a data character.",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,S25
I2DA,CI_2OF5_DIGIT_AGGRESSIVENESS,Interleaved 2 of 5 Aggressiveness,Specifies the tolerance of the digit classification algorithm for the 2 of 5 family.,1,"[format=range]
min=01
max=05
step=01
[PRG_ValueIncluded=false]",,A high value of aggressiveness makes the algorithm more tolerant and able to classify distorted codes. A low value of aggressiveness makes the algorithm safer and reduces the risk of misread.,PUBLIC_PRG,false,0x03,0x03,,,,,,,0x01,,,,,2OF5
IAEN,CI_IATA_ENABLE,IATA Industrial 2 of 5 Enable/Disable,Enables/Disables ability to decode IATA Industrial 2 of 5 labels.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,IATA
M2CC,CI_MATRIX_2OF5_CHECK_CHARACTER_CALCULATION,Matrix 2 of 5 Check Character Calculation,Enables/Disables calculation and verification of optional Matrix 2 of 5 check character,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,MATRIX
M2EN,CI_MATRIX_2OF5_ENABLE,Matrix 2 of 5 Enable/Disable,Enables/Disables ability to decode Matrix 2 of 5 labels.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,MATRIX
M2L1,CI_MATRIX_2OF5_LENGTH_1,Matrix 2 of 5 Set Length 1,Specifies one of the barcode lengths for Matrix 2 of 5 length control,1,"[format=range]
min=01
max=0x32
step=01
[PRG_ValueIncluded=false]",,"Length 1 is the minimum label length if in variable length mode, or the first fixed length if in fixed length mode. Length includes the barcode s check and data characters.",PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,MATRIX
M2L2,CI_MATRIX_2OF5_LENGTH_2,Matrix 2 of 5 Set Length 2,Specifies one of the barcode lengths for Matrix 2 of 5 length control,1,"[format=range]
min=00
max=0x32
step=01
[PRG_ValueIncluded=false]",,"Length 2 is the maximum label length if in variable length mode, or the second fixed length if in fixed length mode. Length includes the barcode s check and data characters.",PUBLIC_PRG,false,0x32,0x32,,,,,,,,,,,,MATRIX
M2LC,CI_MATRIX_2OF5_LENGTH_CONTROL,Matrix 2 of 5 Length Control,Specifies either variable-length decoding or fixed-length decoding for Matrix 2 of 5,1,"[format=selection]
0x00=Variable-length decoding
0x01=Fixed-length decoding",,"For variable-length decoding, a minimum length may be set; for fixed-length decoding, two different lengths may be set",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,MATRIX
F2EN,CI_FOLLETT_2OF5_ENABLE,Follett 2 of 5 Enable/Disable,Enables/Disables ability to decode Follett 2 of 5 labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,FOLLETT
CHEN,CI_I2OF5_CIP_HR_ENABLE,Interleaved 2 of 5 CIP HR Enable/Disable,Enables/Disables ability to decode Interleaved 2 of 5 CIP HR labels.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,I2OF5
PWEN,CI_DO_PRICE_WEIGHT_CHECK,Price Weight Check,Enables/Disables calculation and verification of price/weight check digits,1,"[format=selection]
0x00=Disable
0x01=Enable 4-digit price/wt check-digit calculation
0x02=Enable 5-digit price/wt check-digit calculation
0x03=Enable European 4-digit price-weight check-digit calculation
0x04=Enable European 5-digit price-weight check-digit calculation",,Applies to all UPC-A labels with a number-system character of 2 and EAN/JAN13 labels with a Flag1 digit of 2,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,DO
P3EN,CI_CODE32_ENABLE,Code 32 Enable/Disable (Italian Pharmaceutical Code),Enables/Disables ability to decode Code 32 labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,The use of VL requires also that Code 39 must be enabled.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,CODE32
D2CC,CI_DATALOGIC_2OF5_CHECK_CHARACTER_CALCULATION,Datalogic 2 of 5 Check Character Calculation,Enables/Disables calculation and verification of optional Datalogic 2 of 5 check character,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,DATALOGIC
D2EN,CI_DATALOGIC_2OF5_ENABLE,Datalogic 2 of 5 Enable/Disable,Enables/Disables ability to decode Datalogic 2 of 5 labels.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,DATALOGIC
D2L1,CI_DATALOGIC_2OF5_LENGTH_1,Datalogic 2 of 5 Set Length 1,Specifies one of the barcode lengths for Datalogic 2 of 5 length control.,1,"[format=range]
min=02
max=0x32
step=01
[PRG_ValueIncluded=false]",,"Length 1 is the minimum label length if in variable length mode, or the first fixed length if in fixed length mode. Length includes the barcode s data characters only.",PUBLIC_PRG,false,0x06,0x06,,,,,,,,,,,,DATALOGIC
D2L2,CI_DATALOGIC_2OF5_LENGTH_2,Datalogic 2 of 5 Set Length 2,Specifies one of the barcode lengths for Datalogic 2 of 5 length control.,1,"[format=range]
min=00
max=0x32
step=01
except=01
[PRG_ValueIncluded=false]",,"Length 2 is the maximum label length if in variable length mode, or the second fixed length if in fixed length mode. Length includes the barcode s data characters only.",PUBLIC_PRG,false,0x32,0x32,,,,,,,,,,,,DATALOGIC
D2LC,CI_DATALOGIC_2OF5_LENGTH_CONTROL,Datalogic 2 of 5 Length Control,Specifies either variable-length decoding or fixed-length decoding for Datalogic 2 of 5,1,"[format=selection]
0x00=Variable-length decoding
0x01=Fixed-length decoding",,"For variable-length decoding, a minimum length may be set; for fixed-length decoding, two different lengths may be set",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,DATALOGIC
CBEN,CI_CODABAR_ENABLE,Codabar Enable/Disable,Enables/Disables ability to decode Codabar labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,CODABAR
CBL1,CI_CODABAR_LENGTH_1,Codabar Set Length 1,Specifies one of the barcode lengths for Codabar length control.,1,"[format=range]
min=03
max=0x32
step=01
[PRG_ValueIncluded=false]",,"Length 1 is the minimum label length if in variable length mode, or the first fixed length if in fixed length mode. Length includes the barcode s start, stop, check and data characters. The length must include at least one data character.",PUBLIC_PRG,false,0x03,0x03,,,,,,,0x08,,,,,CODABAR
CBL2,CI_CODABAR_LENGTH_2,Codabar Set Length 2,Specifies one of the barcode lengths for Codabar length control.,1,"[format=range]
min=00
max=0x32
step=01
except=01,02
[PRG_ValueIncluded=false]",,"Length 2 is the maximum label length if in variable length mode, or the second fixed length if in fixed length mode. Length includes the barcode s start, stop, check and data characters. The length must include at least one data character.",PUBLIC_PRG,false,0x32,0x32,,,,,,,0x10,,,,,CODABAR
CBLC,CI_CODABAR_LENGTH_CONTROL,Codabar Length Control,Specifies either variable-length decoding or fixed-length decoding for Codabar,1,"[format=selection]
0x00=Variable-length decoding
0x01=Fixed-length decoding",,"For variable-length decoding, a minimum length may be set; for fixed-length decoding, two different lengths may be set",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,CODABAR
CBCC,CI_CODABAR_CHECK_CHARACTER_CALCULATION,Codabar Check Character Calculation,Enables/Disables calculation and verification of optional Codabar check character,1,"[format=selection]
0x00=Disable
0x01=Enable AIM standard check char
0x02=Enable Modulo 10 check char
0x03=Enable NW-7
[PRG_ValueIncluded=false]",,"0x00=Disable
Bit values
0x01=Enable AIM standard check char
0x02=Enable Modulo 10 check char
0x03=Enable NW-7
When disabled, any check characters in label are treated as data characters.",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,CODABAR
CBDA,CI_CODABAR_DIGIT_AGGRESSIVENESS,Codabar Aggressiveness,Specifies the tolerance of the digit classification algorithm for Codabar.,1,"[format=range]
min=01
max=05
step=01
[PRG_ValueIncluded=false]",,A high value of aggressiveness makes the algorithm more tolerant and able to classify distorted codes. A low value of aggressiveness makes the algorithm safer and reduces the risk of misread.,PUBLIC_PRG,false,0x03,0x03,,,,,,,0x01,,,,,CODABAR
CBLO,CI_CODABAR_QUIET_ZONE,Codabar Quiet Zones,Specifies the number of quiet zones for Codabar labels,1,"[format=selection]
0x01=Quiet zone on one side
0x02=Quiet zones on two sides
0x03=Auto
0x04=Virtual quiet zone on two sides
0x05=Small quiet zone on two sides",,"0x01=Quiet zone on one side
0x02=Quiet zones on two sides
0x03=Auto
0x04=Virtual quiet zones on two sides
0x05=Small quiet zones on two sides
When the value is received by a 2D HH, it's accepted and the scanners behaves as in the table below:
0x02=Quiet zones on two sides
0x03=0x01=0x04=0x05=Small quiet zones on two sides",PUBLIC_PRG,false,0x02,0x02,,,,,,,,,,,,CODABAR
CBSC,CI_CODABAR_START_STOP_CHARACTER_SET,Codabar Start/Stop Character Set,Specifies format of transmitted Codabar start/stop characters,1,"[format=selection]
0x00=ABCD/TN*E
0x01=ABCD/ABCD
0x02=abcd/tn*e
0x03=abcd/abcd",,,PUBLIC_PRG,false,0x03,0x03,,,0x01,,,,,,,,0x01,CODABAR
CBSM,CI_CODABAR_START_STOP_CHAR_MATCH,Codabar Start/Stop Character Match,Enables/Disables requirement that start and stop characters match,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,CODABAR
CBAB,CI_ABC_CODABAR_CONCATENATION_ENABLE,ABC Codabar Enable/Disable,Enables/Disables ability to decode ABC Codabar labels.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,ABC
CBCM,CI_ABC_CODABAR_CONCATENATION_MODE,ABC Codabar Concatenation Mode,Specifies the concatenation mode between Static and Dynamic.,1,"[format=selection]
0x00=Static
0x01=Dynamic",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,ABC
CBDT,CI_ABC_CODABAR_DYNAMIC_CONCATENATION_TIMEOUT,ABC Codabar Dynamic Concatenation Timeout,Specifies the timeout in 10-millisecond ticks used by the ABC Codabar Dynamic Concatenation Mode.,1,"[format=range]
min=05
max=0xFF
step=01
[PRG_ValueIncluded=false]",,Value is multiplied by 10 msec step.,PUBLIC_PRG,false,0x14,0x14,,,,,,,,,,,,ABC
CBFC,CI_ABC_CODABAR_FORCE_CONCATENATION_ENABLE,ABC Codabar Force Concatenation,Forces labels starting or ending with D to be concatenated,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,ABC
XB2D,CI_RSS_EXPANDED_2D_COMPONENT_ENABLE,GS1 DataBar Expanded 2D Component,Controls requirement that a 2D label component be decoded when an GS1 DataBar Expanded base label is decoded.,1,"[format=selection]
0x00=Disable
0x01=Enable",,"When enabled, if an RSS Expanded label is decoded which has the 2D linkage flag set, the 2D component must also be decoded or the base label will be discarded.
When disabled, only the RSS Expanded base label will be decoded and transmitted regardless of the state of the linkage flag.",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,RSS
XBEN,CI_RSS_EXPANDED_ENABLE,GS1 DataBar Expanded Enable/Disable,Enables/Disables ability to decode GS1 DataBar-Expanded labels. Only functional if value added feature for GS1 DataBar is activated,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,0x01,,,,,,,,0x01,RSS
XBL1,CI_RSS_EXPANDED_LENGTH_1,GS1 DataBar Expanded Set Length 1,Specifies one of the barcode lengths for GS1 DataBar Expanded length control.,1,"[format=range]
min=01
max=0x4A
step=01
[PRG_ValueIncluded=false]",,"Length 1 is the minimum label length if in variable length mode, or the first fixed length if in fixed length mode. Length includes the barcode s data characters only.",PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,RSS
XBL2,CI_RSS_EXPANDED_LENGTH_2,GS1 DataBar Expanded Set Length 2,Specifies one of the barcode lengths for GS1 DataBar Expanded length control.,1,"[format=range]
min=00
max=0x4A
step=01
[PRG_ValueIncluded=false]",,"Length 2 is the maximum label length if in variable length mode, or the second fixed length if in fixed length mode. Length includes the barcode s data characters only.",PUBLIC_PRG,false,0x4A,0x4A,,,,,,,,,,,,RSS
XBLC,CI_RSS_EXPANDED_LENGTH_CONTROL,GS1 DataBar Expanded Length Control,Specifies either variable-length decoding or fixed-length decoding for GS1 DataBar Expanded,1,"[format=selection]
0x00=Variable-length decoding
0x01=Fixed-length decoding",,"For variable-length decoding, a minimum length may be set; for fixed-length decoding, two different lengths may be set",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,RSS
XBU8,CI_RSS_EXPANDED_EAN128_EMULATION,GS1 DataBar Expanded GS1-128 Emulation,Enables/Disables GS1-128 emulation for GS1 DataBar Expanded,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,RSS
LB2D,CI_RSS_LIMITED_2D_COMPONENT_ENABLE,GS1 DataBar Limited 2D Component,Controls requirement that a 2D label component be decoded when an GS1 DataBar Limited base label is decoded.,1,"[format=selection]
0x00=Disable
0x01=Enable",,"When enabled, if a DataBar Limited label is decoded which has the 2D linkage flag set, the 2D component must also be decoded or the base label will be discarded.
When disabled, only the DataBar Limited base label will be decoded and transmitted regardless of the state of the linkage flag.",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,RSS
LBEN,CI_RSS_LIMITED_ENABLE,GS1 DataBar Limited Enable/Disable,Enables/Disables ability to decode GS1 DataBar Limited labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,0x01,,,,,,,,0x01,RSS
LBU8,CI_RSS_LIMITED_EAN128_EMULATION,GS1 DataBar Limited GS1-128 Emulation,Enables/Disables GS1-128 emulation for GS1 DataBar Limited.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,RSS
4B2D,CI_RSS_14_2D_COMPONENT_ENABLE,GS1 DataBar Omnidirectional 2D Component,Controls requirement that a 2D label component be decoded when an GS1 DataBar Omnidirectional base label is decoded.,1,"[format=selection]
0x00=Disable
0x01=Enable",,"When enabled, if an RSS-14 label is decoded which has the 2D linkage flag set, the 2D component must also be decoded or the base label will be discarded.
When disabled, only the RSS-14 base label will be decoded and transmitted regardless of the state of the linkage flag.",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,RSS
4BEN,CI_RSS_14_ENABLE,GS1 DataBar Omnidirectional Enable/Disable,Enables/Disables ability to decode GS1 DataBar Omnidirectional labels. Only functional if value added feature for GS1 DataBar is activated.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,0x01,,,,,,,,0x01,RSS
C1CC,CI_CODE11_CHECK_CHARACTER_CALCULATION,Code 11 Check Character Calculation,Enables/Disables calculation and verification of optional Code 11 check character,1,"[format=selection]
0x00=Disable
0x01=check C
0x02=check K
0x03=Check C and K",,,PUBLIC_PRG,false,0x03,0x03,,,,,,,,,,,,CODE11
C1EN,CI_CODE11_ENABLE,Code 11 Enable/Disable,Enables/Disables ability to decode Code 11 labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,CODE11
C1L1,CI_CODE11_LENGTH_1,Code 11 Set Length 1,Specifies one of the barcode lengths for Code11 length control.,1,"[format=range]
min=02
max=0x32
step=01
[PRG_ValueIncluded=false]",,"Length 1 is the minimum label length if in variable length mode, or the first fixed length if in fixed length mode. Length includes the barcode s check and data characters.",PUBLIC_PRG,false,0x04,0x04,,,,,,,,,,,,CODE11
C1L2,CI_CODE11_LENGTH_2,Code 11 Set Length 2,Specifies one of the barcode lengths for Code11 length control.,1,"[format=range]
min=00
max=0x32
step=01
except=01
[PRG_ValueIncluded=false]",,"Length 2 is the maximum label length if in variable length mode, or the second fixed length if in fixed length mode. Length includes the barcode s check and data characters.",PUBLIC_PRG,false,0x32,0x32,,,,,,,,,,,,CODE11
C1LC,CI_CODE11_LENGTH_CONTROL,Code 11 Length Control,Specifies either variable-length decoding or fixed-length decoding for Code11.,1,"[format=selection]
0x00=Variable-length decoding
0x01=Fixed-length decoding",,"For variable length decoding, minimum and maximum lengths may be set. For fixed length decoding, two different explicit lengths may be set.",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,CODE11
C9CC,CI_CODE93_CHECK_CHARACTER_CALCULATION,Code 93 Check Character Calculation,Enables/Disables calculation and verification of optional Code 93 check character,1,"[format=selection]
0x00=Disable
0x01=check C
0x02=check K
0x03=Check C and K",,,PUBLIC_PRG,false,0x03,0x03,,,,,,,,,,,,CODE93
C9EN,CI_C93_ENABLE,Code 93 Enable/Disable,Enables/Disables ability to decode Code93 labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,C93
C9L1,CI_C93_LENGTH_1,Code 93 Set Length 1,Specifies one of the barcode lengths for Code93 length control.,1,"[format=range]
min=01
max=0x32
step=01
[PRG_ValueIncluded=false]",,"Length 1 is the minimum label length if in variable length mode, or the first fixed length if in fixed length mode. Length includes the barcode s data characters only.",PUBLIC_PRG,false,0x01,0x01,,,,,,,0x08,,,,,C93
C9L2,CI_C93_LENGTH_2,Code 93 Set Length 2,Specifies one of the barcode lengths for Code93 length control.,1,"[format=range]
min=00
max=0x32
step=01
[PRG_ValueIncluded=false]",,"Length 2 is the maximum label length if in variable length mode, or the second fixed length if in fixed length mode. Length includes the barcode s data characters only.",PUBLIC_PRG,false,0x32,0x32,,,,,,,0x10,,,,,C93
