Name,CI_Master_Default_Eugene,CI_Master_Default_Bologna,CI_Class2_Default,CI_Class3_Default,CI_Class4_Default,CI_Class5_Default,CI_Class6_Default,CI_Class7_Default,CI_Class8_Default,CI_Class9_Default,CI_Class10_Default,CI_Class11_Default,CI_Class12_Default,CI_Class13_Default,CI_Class14_Default,CI_Class15_Default,CI_ValueOptions,CI_TagName
CNL1,,,,,,,,,,,,,,,,,,CI_AFC_CONCAT_CODE_LENGTH_1
CNT1,,,,,,,,,,,,,,,,,,CI_AFC_CONCAT_CODE_TYPE_1
CNEN,,,,,,,,,,,,,,,,,,CI_AFC_CONCAT_ENABLE
AFNM,,,,,,,,,,,,,,,,,,CI_AF_NO_MATCH_RESULT
XCEM,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_RSS_EXPANDED_COMPOSITE_EAN128_EMULATION
UITA,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=No additional indications
01=Led additional indication
02=Viber additional indication
03=Led and Viber additional indications
[PRG_ValueIncluded=false]",CI_USER_INDICATION_ADDITIONAL_TRANSMISSION_FAIL
UISM,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[PRG_ValueIncluded=false]",CI_USER_INDICATION_SILENT_MODE
VBPE,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[PRG_ValueIncluded=false]",CI_VIBRATION_POWERUP_ENABLE
UCEM,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_EAN128_COMPOSITE_EAN128_EMULATION
TLLC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Variable-length decoding
01=Fixed-length decoding",CI_TLC39_LENGTH_CONTROL
TLL2,0x0174,0x0174,,,,,,,,,,,,,,,"[format=range]
min=0x0007
max=0x0174
step=01
[PRG_ValueIncluded=false]",CI_TLC39_LENGTH_2
TLL1,0x0007,0x0007,,,,,,,,,,,,,,,"[format=range]
min=0x0007
max=0x0174
step=01
[PRG_ValueIncluded=false]",CI_TLC39_LENGTH_1
TLID,0x247600,0x247600,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_TLC39
TLAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_TLC39_AIM_ID_ENABLE
TLEN,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_TLC39_ENABLE
SPSE,0x64,0x64,,,,,,,,,,,,,,,"[format=range]
min=0x01
max=0x64
step=01
[PRG_ValueIncluded=false]",CI_SELECTIVE_EXPOSURE_AREA
SMTA,0x65,0x65,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0x65
step=01
[PRG_ValueIncluded=false]",CI_STAND_MODE_THRESHOLD_AREA
SMSM,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_STAND_MODE_SAFE_MARGIN
SMAS,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_STAND_MODE_ADJUST_SPEED
QRET,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_QRCODE_ECI_IDENTIFIER_TRANSMISSION
P4ET,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_PDF417_ECI_IDENTIFIER_TRANSMISSION
MXET,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_MAXICODE_ECI_IDENTIFIER_TRANSMISSION
MIET,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_MICRO_PDF_ECI_IDENTIFIER_TRANSMISSION
LOGT,0x0A,0x0A,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0x0A
step=01",CI_LOGGER_PRIORITY_LEVEL_RTC
LCEM,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_RSS_LIMITED_COMPOSITE_EAN128_EMULATION
ECEM,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_UPCE_COMPOSITE_EAN128_EMULATION
DMET,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_DATAMATRIX_ECI_IDENTIFIER_TRANSMISSION
DMEC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_DATAMATRIX_ECC000_140_SUPPORT_ENABLE
DCET,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_DOTCODE_ECI_IDENTIFIER_TRANSMISSION
CSET,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_CHINA_SENSIBLE_ECI_IDENTIFIER_TRANSMISSION
CMET,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_UCC_COMPOSITE_ECI_IDENTIFIER_TRANSMISSION
AZET,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_AZTEC_ECI_IDENTIFIER_TRANSMISSION
ACEM,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_UPCA_COMPOSITE_EAN128_EMULATION
8CEM,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_EAN8_COMPOSITE_EAN128_EMULATION
4CEM,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_RSS_14_COMPOSITE_EAN128_EMULATION
3CEM,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_EAN13_COMPOSITE_EAN128_EMULATION
ETPT,0x05,0x05,,,,,,,,,,,,,,,"[format=range]
min=0
max=255
step=01
[PRG_ValueIncluded=false]",CI_ETH_RX_PARSER_TIMEOUT
ETPM,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Find Terminatore
01=Detect RX timeout
02=Reserved
03=Reserved",CI_ETH_RX_PARSER_MODE
DCLC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Variable-length decoding
01=Fixed-length decoding",CI_DOTCODE_LENGTH_CONTROL
DCL2,0x32,0x32,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x087A
step=01
[PRG_ValueIncluded=false]",CI_DOTCODE_LENGTH_2
DCL1,0x03,0x03,,,,,,,,,,,,,,,"[format=range]
min=01
max=0x087A
step=01
[PRG_ValueIncluded=false]",CI_DOTCODE_LENGTH_1
USTM,0x14,0x14,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x63
step=01
[PRG_ValueIncluded=false]",CI_TX_TIMEOUT
SNTR,0x01,0x01,,,,,,,,,,,,,,,"[format=range]
min=0x01
max=0x0A
step=0x01
[PRG_ValueIncluded=false]",CI_TRIAL_MODE_LIMIT
P1LC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Variable-length decoding
01=Fixed-length decoding",CI_PHARMACODE_LENGTH_CONTROL
P1L2,0x06,0x06,,,,,,,,,,,,,,,"[format=range]
min=0x02
max=0x06
step=01
[PRG_ValueIncluded=false]",CI_PHARMACODE_LENGTH_2
P1L1,0x02,0x02,,,,,,,,,,,,,,,"[format=range]
min=0x02
max=0x06
step=01
[PRG_ValueIncluded=false]",CI_PHARMACODE_LENGTH_1
P1ID,0x5E7000,0x5E7000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_PHARMACODE
P1DI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Horizontal left to right
01=Horizontal right to left
02=Vertical top down
03=Vertical bottom up",CI_PHARMACODE_DIRECTION
P1EN,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_PHARMACODE_ENABLE
P1AI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_PHARMACODE_AIM_ID_ENABLE
OMID,0x246D00,0x246D00,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_MICR
OMAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_MICR_AIM_ID_ENABLE
OBID,0x247000,0x247000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_OCR_B
OBAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_OCR_B_AIM_ID_ENABLE
OAID,0x246F00,0x246F00,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_OCR_A
OAAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_OCR_A_AIM_ID_ENABLE
LBID,0x524C00,0x760000,,0x450000,0x523400,,,,,,0x760000,,,0x523400,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_RSS_LIMITED
LADI,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Low
01=Normal
02=High",CI_ILLUMINATION_DIMMING_INTENSITY
LADF,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Low
01=Normal
02=High",CI_ILLUMINATION_DIMMING_FREQUENCY
IPAG,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_AUTO_GRAY_BALANCE_ENABLE
FSEN,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_FIVE_SECOND_TRIGGER_PULL_ENABLE
FAMC,0x3030303031,0x3030303031,,,,,,,,,,,,,,,[format=ascii],MCF_VERSION_READ_ONLY
DWSC,0x03,0x03,,,,,,,,,,,,,,,"[format=range]
min=0x01
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_DIGIMARC_WATERMARK_SCALE
DWPR,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Digimarc prioritized
01=Barcodes prioritized
02=Balanced",CI_DIGIMARC_WATERMARK_PRIORITY
DWID,0x2B0000,0x2B0000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_DIGIMARC
DWEN,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disabled
01=Digimarc Compatible
02=Digimarc Enhanced
03=Digimarc Native",CI_DIGIMARC_WATERMARK_ENABLE
DWAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_DIGIMARC_AIM_ID_ENABLE
DPME,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_DPM_ENABLE
DGTM,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Results (TTR)
02=Decoding statistics
03=Acquisition
04=Results and decoding statistics
05=Results, decoding statistics and acquisition
06=Decoding statistics with buffer injection",CI_DIAGNOSTIC_TRACER_MODE
DDBE,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_DOCK_DETECT_BEEP_ENABLE
DCID,0x246400,0x246400,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_DOTCODE
DCAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_DOTCODE_AIM_ID_ENABLE
R2AL,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_RS232_ACK_NAK_LEGACY_MODE
PCLC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Variable-length decoding
01=Fixed-length decoding",CI_PHARMACODE_LENGTH_CONTROL
PCL2,0x06,0x06,,,,,,,,,,,,,,,"[format=range]
min=0x02
max=0x06
step=01
[PRG_ValueIncluded=false]",CI_PHARMACODE_LENGTH_2
PCL1,0x02,0x02,,,,,,,,,,,,,,,"[format=range]
min=0x02
max=0x06
step=01
[PRG_ValueIncluded=false]",CI_PHARMACODE_LENGTH_1
PCDI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Horizontal left to right
01=Horizontal right to left
02=Vertical top down
03=Vertical bottom up",CI_PHARMACODE_DIRECTION
PCEN,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_PHARMACODE_ENABLE
DETP,0x03,0x03,,,,,,,,,,,,,,,"[format=selection]
00=Unlimited
01=Shortest
02=Short
03=Normal
04=Long
05=Longest",CI_DECODE_TIMEOUT_PROFILE
I2FE,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_I2OF5_FEBRABAN_ENABLE
TSKC,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_TASK_CONFIGURATION
DS10,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_SPEC_10
DS09,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_SPEC_09
DS08,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_SPEC_08
DS07,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_SPEC_07
DS06,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_SPEC_06
DS05,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_SPEC_05
DS04,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_SPEC_04
DS03,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_SPEC_03
DS02,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_SPEC_02
DS01,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_SPEC_01
DN10,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_NORM_10
DN09,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_NORM_09
DN08,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_NORM_08
DN07,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_NORM_07
DN06,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_NORM_06
DN05,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_NORM_05
DN04,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_NORM_04
DN03,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_NORM_03
DN02,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_NORM_02
DN01,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_DUMMY_ITEM_NORM_01
SNPF,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_MOBILE_PHONE_FORCED
OCMU,0x01,0x01,,,,,,,,,,,,,,,"[format=range]
min=0x01
max=0x05
step=01
[PRG_ValueIncluded=false]",CI_OCR_MULTIFRAME
OCEN,0x00000000,0x00000000,,,,,,,,,,,,,,,"[format=selection]
0x00000000=Disable
0x00000001=EU Identity Card OCR
0x00000002=Passport OCR
0x00000004=Italian Postal OCR
0x00000008=Italian ITB Bank OCR
0x00000010=Swiss Driving License OCR
0x10000000=First Custom Structure
0x20000000=Second Custom Structure
0x40000000=Third Custom Structure
0x80000000=Fourth Custom Structure
[ExtraOption=AllValuesAccepted]",CI_OCR_ENABLE
OCCF,0x37,0x37,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x64
step=01
[PRG_ValueIncluded=false]",CI_OCR_CONFIDENCE
CMO8,0x07,0x07,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x1E
step=01
[PRG_ValueIncluded=false]",CI_UCC_OPTIONAL_COMPOSITE_128_TIMER
IPTE,,,,,,,,,,,,,,,,,,
IPTD,,,,,,,,,,,,,,,,,,
IPTC,,,,,,,,,,,,,,,,,,
IPTB,,,,,,,,,,,,,,,,,,
IPTA,,,,,,,,,,,,,,,,,,
SLPO,0x01,0x01,,,,,,,,,,,,,,,"[format=range]
min=0x01
max=0x0C
step=01
[PRG_ValueIncluded=false]",CI_POWER_OFF_TIMEOUT
SLPL,0x0A,0x0A,,,,,,,,,,,,,,,"[format=range]
min=0x01
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_POWER_LOW_TIMEOUT
DCMI,0x01,0x01,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_DOTCODE_MIN_DOT_DIAMETER
DCMA,0x10,0x10,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_DOTCODE_MAX_DOT_DIAMETER
DCHS,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_DOTCODE_HIGH_SOLUTION
DCCP,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_DOTCODE_CONST_POSITION
HAON,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable 1D
02=Enable 1D and 2D",CI_HW_ACC_ENABLE
DLGE,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_1D_DLG_ENABLE
BTOB,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable Auto mode
02=Enable manual mode",CI_RF_OLD_BATCH_MODE
BALH,0x64,0x64,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0x64
step=01",CI_BATTERY_LEVEL_HIGH
BALL,0x02,0x02,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0x64
step=01",CI_BATTERY_LEVEL_LOW
BALO,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0x32
step=01",CI_BATTERY_LEVEL_OFF
GBGT,0x02,0x02,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0x32
step=01",CI_GOOD_READ_BEEP_GUARD_TIME
PRCT,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_POSTAL_ROYAL_MAIL_CHECK_CHARACTER_TRANSMISSION
PRPC,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_POSTAL_ROYAL_MAIL_POSTCODE_CHECK_CALCULATION
ARMR,0x00,0x00,,,,,,,,,,,,,,,"[format=selection] 
00=Normal 
01=Mirrored
02=Both",CI_IMAGE_MIRRORED
DIAR,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Function Keys Action Select mode
01=String Association Mode
",CI_ARROWKEY_MODE_STRING_DEF
EDFC,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_EAN_DECODE_FROM_CENTER
DCID,0x246400,0x246400,,,,n.a.,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_DOTCODE
DICM,0,0,,,,,,,,,,,,,,,"[format=selection]
00= Auto Scroll Auto new line
01= Auto Scroll Auto new line disabled
",CI_MARGARET_COMP_DISPLAY
DMAS,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable the Append State
01=Enable the Append State
",CI_DISPLAY_HOST_MESSAGE_APPEND_STATE
DISW,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable Displaying Control Characters
01=Enable Displaying Control Characters

",CI_DISPLAY_SHOW_N_PRINTABLE
PWSG,0x3D000000,0x3D000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]

",CI_KEYBOARD_SET_LABEL_FOR_ARROW_DOWN
PWSF,0x3D000000,0x3D000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]

",CI_KEYBOARD_SET_LABEL_FOR_ARROW_UP
DALS,0x00000000000000000000000000000000,0x00000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
",CI_ALTERNATE_DISPLAY_LEGEND
DLEN,1,1,,,,,,,,,,,,,,,"[format=selection]
00=Hide display legend row
01=Show display legend row",CI_DISPLAY_LEGEND_ENABLE
MSLE,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[valueSent=Int]",CI_STAR_POWER_SAVE_MODE
NTDE,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[valueSent=Int]",CI_NEON_TARGET_DISTANCE_ESTIMATOR
STCR,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00  = standalone
01 = Satellite.
02 = satellite > 240 characters",CI_STAR_CRADLE_SATELLITE_MODE
NSLE,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00  = Disable
01 = Enable",CI_NEW_STAR_POWER_SAVE
UOSE,0x00,0x00,,,,,,,,,,0x00,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=2,3,4,5,6,8,9,10,12",CI_USB_OEM_SCANNER_ENABLE
P4DS,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=low safety
01=medium safety
02=high safety
[valueSent=Int]
[ExtraOption=NotAvailableFor]
classes=2,3,5,6,8,9,10,11,12",CI_PDF417_DECODING_SAFETY
SPEL,0x05,0x05,,,,,,,,,,,,,,,"[format=range]
min=0
max=9
step=01
[PRG_ValueIncluded=false]",CI_EXPOSURE_LEVEL
RBCC,0,0,,,,,,,,,,,,,,,"[format=selection]
00=00
01=01",CI_RGB_LED_CURRENT_CONTROL
OCPT,0x01,0x01,,,,,,,,,,,,,,,"[format=range]
min=0
max=2
step=01
[PRG_ValueIncluded=false]",CI_SET_CP_OUPUT_TYPE
LPWL,0x1E,0x1E,,,,,,,,,,,,,,,"[format=range]
min=0
max=0x7F
step=01
[PRG_ValueIncluded=false]",CI_LASER_POWER_LEVEL
IPWL,0x64,0x64,,,,,,,,,,,,,,,"[format=range]
min=0
max=0x64
step=01
[PRG_ValueIncluded=false]",CI_ILLUMINATION_POWER_LEVEL
IPLR,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Allow only normal 1D barcode
01=Allow only reverse 1D barcode
02=Allow both normal and reverse 1D barcode",CI_NORMAL_REVERSE_LINEAR_CONTROL
I2SM,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_I2OF5_SHORT_MARGIN
I2LM,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_I2OF5_NO_LAST_MARGIN
I2FM,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_I2OF5_NO_FIRST_MARGIN
ENCO,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
0x00=Don't use encoding
0x03=UTF_8
0x04=Windows 874
0x05=Windows 932
0x06=Windows 936
0x07=Windows 949
0x08=Windows 950
0x09=Windows 1250
0x0A=Windows 1251
0x0B=Windows 1252
0x0C=Windows 1253
0x0D=Windows 1254
0x0E=Windows 1255
0x0F=Windows 1256
0x10=Windows 1257
0x11=Windows 1258
0x12=Windows 20866
0x31=Windows 54936
0x13=ISO 8859-1
0x14=ISO 8859-2
0x15=ISO 8859-3
0x16=ISO 8859-4
0x17=ISO 8859-5
0x18=ISO 8859-6
0x19=ISO 8859-7
0x1A=ISO 8859-8
0x1B=ISO 8859-9
0x1C=ISO 8859-10
0x1D=ISO 8859-11
0x1E=ISO 8859-13
0x1F=ISO 8859-14
0x20=ISO 8859-15
0x21=ISO 8859-16
0x22=MS-DOS 437
0x23=MS-DOS 737
0x24=MS-DOS 775
0x25=MS-DOS 850
0x26=MS-DOS 852
0x27=MS-DOS 855
0x28=MS-DOS 857
0x29=MS-DOS 860
0x2A=MS-DOS 861
0x2B=MS-DOS 862
0x2C=MS-DOS 863
0x2D=MS-DOS 865
0x2E=MS-DOS 866
0x2F=MS-DOS 869
0x30=Mac CP10000",CI_ENCODING_TYPE
DCEN,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
0x00=Disable
0x01=Enable",CI_DOTCODE_ENABLE
AUXM,0,0,,,,,,,,,,,,,,,"[format=range]
min=00
max=0xFF
step=01",CI_EXIT_STAND_MODE_SOUND
AUPW,0,0,,,,,,,,,,,,,,,"[format=range]
min=00
max=0xFF
step=01",CI_POWER_UP_SOUND
AUGR,0,0,,,,,,,,,,,,,,,"[format=range]
min=00
max=0xFF
step=01",CI_GOOD_READ_SOUND
AUEM,0,0,,,,,,,,,,,,,,,"[format=range]
min=00
max=0xFF
step=01",CI_ENTER_STAND_MODE_SOUND
AUBR,0x0B,0x0B,,,,,,,,,,,,,,,"[format=range]
min=09
max=0x0C
step=01",CI_CONVERTED_BIT_RATE
AUAL,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=00
max=0xFF
step=01",CI_TX_ERROR_SOUND
RBHT,0x14,0x14,,,,,,,,,,,,,,,"[format=range]
min=00
max=0xA0
step=01
[PRG_ValueIncluded=false]",CI_GOOD_READ_RGB_LED_HOLDING_TIME
RBFT,0x14,0x14,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x32
step=01
[PRG_ValueIncluded=false]",CI_GOOD_READ_RGB_LED_FALLING_TIME
RBRT,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x32
step=01
[PRG_ValueIncluded=false]",CI_GOOD_READ_RGB_LED_RAISING_TIME
